,Sample ID,Naphthalene (ng PAH/ug soot),Acenaphthylene (ng PAH/ug soot),Fluorene (ng PAH/ug soot),Phenanthrene (ng PAH/ug soot),Anthracene (ng PAH/ug soot),Fluoranthene (ng PAH/ug soot),Pyrene (ng PAH/ug soot),"Cyclopenta[c,d]pyrene (ng PAH/ug soot)",Benzo[a]anthracene (ng PAH/ug soot),Chrysene (ng PAH/ug soot),Benzofluoranthenes (ng PAH/ug soot),Benzo[a]pyrene (ng PAH/ug soot),"Indeno[1,2,3-cd]pyrene (ng PAH/ug soot)","Benzo[g,h,i]perylene (ng PAH/ug soot)",Coronene (ng PAH/ug soot),Dibenzopyrenes (ng PAH/ug soot)
5,EEF-213,0.0035499272995703824,0.017028154854941357,0.0049390257587103486,0.015237943100228602,0.012554705551456182,0.021249216350020108,0.019039044649774437,0.1189190748329824,0.05415441038293918,0.07329025334591348,0.3973341154630385,0.19963834524604096,0.17484620230608333,0.24811976572734773,0.027827646102456208,0.13104313720247227
6,EEF-214,0.01674066806342218,0.02599144261562519,0.011565274672606275,0.2133825395805554,0.08632554031737096,2.6357813085172546,2.967672537545099,6.670449094603972,1.5519186781676613,1.7418530732487887,3.5060644641622485,1.8850228416366435,1.432650204294243,1.5342975859262058,0.19112668172103653,0.8517954397790926
7,EEF-215,0.006762594942729278,0.013519511223410604,0.007467463629881139,0.2393531960604994,0.08988325916009929,2.3146670306333275,2.54022042324225,5.106429337588591,1.1712373418006345,1.3219594493119946,2.6930252457280597,1.4639508676162472,1.0708116589746772,1.1324514021938503,0.12329283649473421,0.589115333015148
8,EEF-216,0.006770800722286959,0.013635030689272831,0.007598470034008848,0.2571538711278246,0.09497316325050288,2.4489535707067165,2.6997316758361345,5.47469627327538,1.2338692954582475,1.3469668961054924,2.756828211073429,1.4496308470889903,1.1131369250616217,1.2098601266071574,0.13558421182087493,0.5669084132368691
9,LB-HL4-01,0.0012517197284548423,0.006238653263795826,0.0016428154376106334,0.0009080767346863772,0.0036706654641656105,0.005971393553759427,0.005031310459937645,0.055863955496799456,0.02152405153566843,0.03320818856130756,0.2773479837232903,0.16102661078464825,0.1444668813043246,0.20574006535052816,0.017919896904516106,0.05923298760552316
10,LB-HL4-10,0.0012639573075626475,0.00710755643613275,0.0020446407512913645,0.0009490231536664069,0.004192758010745778,0.006144352040704774,0.004911108033750464,0.0570119048569151,0.022329644326739964,0.034507043531376555,0.2581313420593731,0.1652661347309349,0.11920958213051416,0.19625888466496472,0.015444732898690203,0.055527941825171706
